"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
953,"[P] Sudden cardiac death in inpatient",953,"cohortNameLong : Sudden cardiac death events  in inpatient;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Sudden cardiac death condition record during an inpatient or ER visit successive records with > 180 day gap are considered independent episodes;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 197607, 4302555;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Sudden cardiac death in inpatient",,"Sudden cardiac death events in inpatient","Pending","","Sudden cardiac death condition record during an inpatient or ER visit successive records with > 180 day gap are considered independent episodes","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","'OHDSI'","","","197607, 4302555","","",,,,,,953,953
954,"[P] Syncope",954,"cohortNameLong : Syncope events;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Syncope condition record of any type successive records with > 180 day gap are considered independent episodes;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 377252;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Syncope",,"Syncope events","Pending","","Syncope condition record of any type successive records with > 180 day gap are considered independent episodes","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","","","","377252","https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236","",,,,,,954,954
955,"[P] Thrombocytopenia",955,"cohortNameLong : Persons with thrombocytopenia;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : The first condition record of thrombocytopenia;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 376938;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Thrombocytopenia",,"Persons with thrombocytopenia","Pending","","The first condition record of thrombocytopenia","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","","","","376938","https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236","",,,,,,955,955
956,"[P] Transient ischemic attack",956,"cohortNameLong : Transient ischemic attack events;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Transient ischemic attack condition record during an inpatient or ER visit successive records with > 30 day gap are considered independent episodes;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4112970;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Transient ischemic attack",,"Transient ischemic attack events","Pending","","Transient ischemic attack condition record during an inpatient or ER visit successive records with > 30 day gap are considered independent episodes","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","","","","4112970","https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236","",,,,,,956,956
957,"[P] Type 2 diabetes mellitus",957,"cohortNameLong : Persons with type 2 diabetes mellitus;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : The first condition record of Type 2 Diabetes Mellitus, which is followed by another Type 2 Diabetes Mellitus condition record, at least 2 drugs used to treat Type 2 diabetes, or at least 2 HbA1c measurements with value > 6.5%;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4216000, 4246137;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Type 2 diabetes mellitus",,"Persons with type 2 diabetes mellitus","Pending","","The first condition record of Type 2 Diabetes Mellitus, which is followed by another Type 2 Diabetes Mellitus condition record, at least 2 drugs used to treat Type 2 diabetes, or at least 2 HbA1c measurements with value > 6.5%","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","","","","4216000, 4246137","https//forums.ohdsi.org/t/phenotype-phebruary-2023-p11-neurofibromatosis-type-1-with-optical-pathway-glioma/18236","",,,,,,957,957
963,"[P] Vomiting",963,"cohortNameLong : Vomiting events;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Vomiting condition record of any type successive records with > 30 day gap are considered independent episodes;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 25297, 4226263;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Vomiting",,"Vomiting events","Pending","","Vomiting condition record of any type successive records with > 30 day gap are considered independent episodes","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","'OHDSI'","","","25297, 4226263","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,963,963
964,"[P] Chronic kidney disease",964,"cohortNameLong : Persons with chronic kidney disease with 2+ diagnoses across 30d or 2+ dialysis;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Persons with chronic kidney disease with 2+ diagnoses across 30d or 2+ dialysis;
hashTag : #usedInStudy, #LEGEND, #Hypertension, #legendHypertension;
contributors : 'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan';
contributorOrcIds : 0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','','';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 314754;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Chronic kidney disease",,"Persons with chronic kidney disease with 2+ diagnoses across 30d or 2+ dialysis","Pending","","Persons with chronic kidney disease with 2+ diagnoses across 30d or 2+ dialysis","#usedInStudy, #LEGEND, #Hypertension, #legendHypertension","'Marc Suchard','Martijn Schuemie','Harlan Krumholz','Seng Chan You','RuiJun Chun','Nicole Pratt','Christian Reich','Jon Duke','David Madigan','George Hripcsak','Patrick Ryan'","0000-0001-9818-479X', '0000-0002-0817-5361', '0000-0003-2046-127X','','','0000-0001-8730-8910', '','','','',''","'OHDSI'","","","314754","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,964,964
965,"[P] 3-point MACE",965,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Condition record of acute myocardial infarction, hemorrhagic or ischemic stroke or sudden cardiac death during an inpatient or ER visit;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 253506, 255848;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","3-point MACE",,"","Pending","","Condition record of acute myocardial infarction, hemorrhagic or ischemic stroke or sudden cardiac death during an inpatient or ER visit","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","253506, 255848","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,965,965
967,"[P] 4-point MACE",967,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : 3-Point MACE $+$ inpatient or ER visit (hospitalization) with heart failure condition record;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4023572;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","4-point MACE",,"","Pending","","3-Point MACE $+$ inpatient or ER visit (hospitalization) with heart failure condition record","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","4023572","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,967,967
976,"[P] Glycemic control",976,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : First hemoglobin A1c measurement with value $\le$ 7\%;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 317009;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Glycemic control",,"","Pending","","First hemoglobin A1c measurement with value $\le$ 7\%","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","317009","","",,,,,,976,976
979,"[P] Hospitalization with heart failure indexed on hospitalization",979,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Inpatient or ER visit with heart failure condition record;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 441542, 442077;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Hospitalization with heart failure indexed on hospitalization",,"","Pending","","Inpatient or ER visit with heart failure condition record","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","","","","441542, 442077","","",,,,,,979,979
980,"[P] Revascularization",980,"cohortNameLong : Coronary Vessel Revascularization;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Procedure record of percutaneous coronary intervention or coronary artery bypass grafting during an inpatient or ER visit;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4283892,4336464;
ohdsiForumPost : https://forums.ohdsi.org/t/howoften-community-contributions-wanted/19666;
replaces : ;
","2023-09-20","2023-10-04","rao@ohdsi.org","Revascularization",,"Coronary Vessel Revascularization","Pending","","Procedure record of percutaneous coronary intervention or coronary artery bypass grafting during an inpatient or ER visit","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","4283892,4336464",,"",,,,,,980,980
982,"[P] Stroke (ischemic or hemorrhagic) in inpatient",982,"cohortNameLong : Stroke (ischemic or hemorrhagic)  in inpatient;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Condition record of hemorrhagic or ischemic stroke during an inpatient or ER visit;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 134438, 45766714;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Stroke (ischemic or hemorrhagic) in inpatient",,"Stroke (ischemic or hemorrhagic) in inpatient","Pending","","Condition record of hemorrhagic or ischemic stroke during an inpatient or ER visit","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","134438, 45766714","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,982,982
986,"[P] Acute pancreatitis2",986,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Condition record of acute pancreatitis during an inpatient or ER visit;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-09-20","rao@ohdsi.org","Acute pancreatitis2",,"","Pending","","Condition record of acute pancreatitis during an inpatient or ER visit","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","","","",,,,,,986,986
989,"[P] Bladder cancer",989,"cohortNameLong : Bladder Cancer;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Malignant tumor of urinary bladder condition record of any type limited to earliest event per person;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-10-05","rao@ohdsi.org","Bladder cancer",,"Bladder Cancer","Pending","","Malignant tumor of urinary bladder condition record of any type limited to earliest event per person","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","","","",,,,,,989,989
990,"[P] Bone fracture",990,"cohortNameLong : Bone Fracture;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Bone fracture condition record of any type successive records with > 90 day gap are considered independent episodes;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 75053;
ohdsiForumPost : https://forums.ohdsi.org/t/howoften-community-contributions-wanted/19666/;
replaces : ;
","2023-09-20","2023-10-04","rao@ohdsi.org","Bone fracture",,"Bone Fracture","Pending","","Bone fracture condition record of any type successive records with > 90 day gap are considered independent episodes","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","75053",,"",,,,,,990,990
991,"[P] Breast cancer Malignant tumor of breast",991,"cohortNameLong : Breast cancer Malignant tumor of breast;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Malignant tumor of breast condition record of any type limited to earliest event per person;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 197925, 4245614;
ohdsiForumPost : ;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Breast cancer Malignant tumor of breast",,"Breast cancer Malignant tumor of breast","Pending","","Malignant tumor of breast condition record of any type limited to earliest event per person","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","197925, 4245614","","",,,,,,991,991
992,"[P] Diabetic ketoacidosis with inpatient or ER visit",992,"cohortNameLong : ;
librarian : rao@ohdsi.org;
status : Pending;
addedVersion : ;
logicDescription : Diabetic ketoacidosis condition record during an inpatient or ER visit;
hashTag : #usedInStudy, #LEGEND, #Diabetes, #legendDiabetes;
contributors : Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard';
contributorOrcIds : 0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 261687;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-09-20","2023-09-24","rao@ohdsi.org","Diabetic ketoacidosis with inpatient or ER visit",,"","Pending","","Diabetic ketoacidosis condition record during an inpatient or ER visit","#usedInStudy, #LEGEND, #Diabetes, #legendDiabetes","Rohan Khera','Martijn Schuemie','Yuan Lu','Anna Ostropolets','RuiJun Chun','George Hripcsak','Patrick Ryan','Harlan Krumholz','Marc Suchard'","0000-0001-9467-6199', '0000-0002-0817-5361', '', '0000-0002-0847-6682', '', '','','0000-0003-2046-127X','0000-0001-9818-479X'","'OHDSI'","","","261687","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,992,992
